2025-09-02 10:00:01,120 | Q: Hi, I’m Emily. I’ll ask you a few short questions. Please answer yes or no first. Is that clear? | A: you know, I think we can talk later but I’m happy to chat now if needed | Label: FT | Score: 0.00 | Latency: 0.62s
2025-09-02 10:50:30,198 | Q: What day is today? | A: tuesday | Label: A* | Score: 1.00 | Latency: 0.56s
2025-09-02 10:50:36,566 | Q: Is the door open? | A: yes | Label: A* | Score: 1.00 | Latency: 0.55s
2025-09-02 10:50:57,846 | Q: Can you tell me again, what day is today? | A: tuesday | Label: A* | Score: 1.00 | Latency: 0.61s
2025-09-02 10:51:04,222 | Q: What was the address? | A: 2 south hunter street liverpool | Label: A* | Score: 1.00 | Latency: 0.60s
2025-09-02 10:51:11,599 | Q: Did you drink water this morning? | A: yes | Label: A* | Score: 1.00 | Latency: 0.53s
2025-09-02 10:51:22,870 | Q: What was the address? | A: two south hunter street liverpool | Label: A* | Score: 1.00 | Latency: 0.59s
2025-09-02 10:51:30,243 | Q: Are you comfortable managing your medicines or finances? | A: please stop, call nurse | Label: C | Score: 0.00 | Latency: 0.82s
2025-09-02 10:51:30,243 — 11:00:00,000 (passive listening until hour end)2025-09-11 22:19:38,204 | Q: Hi, I’m Emily. I’ll ask you a few short questions. Please answer yes or no first. Is that clear? | A: yeah what kind of questions | Label: A* | Score: 1.00 | Latency: 0.74s
2025-09-11 22:19:47,147 | Q: Are you ready to start? | A: yes i'm ready | Label: A* | Score: 1.00 | Latency: 0.11s
2025-09-11 22:20:09,243 | Q: Before we begin, how are you feeling today? | A: you look so tired like ah i have a very busy day today i don't know like what's going on i'm tired | Label: C | Score: 0.00 | Latency: 0.00s
2025-09-11 22:37:05,990 | Q: Hi, I’m Emily. I’ll ask you a few short questions. Please answer yes or no first. Is that clear? | A: yeah who is this | Label: A* | Score: 1.00 | Latency: 0.91s
2025-09-11 22:37:16,656 | Q: Are you ready to start? | A: well i'm ready to start but for what like i don't know | Label: C | Score: 0.00 | Latency: 0.47s
2025-09-11 22:38:22,025 | Q: Hi, I’m Emily. I’ll ask you a few short questions. Please answer yes or no first. Is that clear? | A: ah yeah what kind of questions would you be asking like i don't know | Label: C | Score: 0.00 | Latency: 0.98s
2025-09-11 22:39:27,952 | Q: Hi, I’m Emily. I’ll ask you a few short questions. Please answer yes or no first. Is that clear? | A: and i esteem i like to watch football on tv like it's very fun i enjoy football a lot | Label: FT | Score: 0.00 | Latency: 0.04s
2025-09-11 22:39:39,593 | Q: Hi, I’m Emily. Can you hear me? | A: yeah who is this | Label: A* | Score: 1.00 | Latency: 0.18s
